canonical,metab_group,tissue,sex,comparison_group,logFC,adj_p_value,p_value,n_platform_entries,sex_label,sig_dot
Citrate+Isocitrate,TCA cycle,WAT-SC,male,4w,-0.117059563913215,1,0.628293342109487,1,Male,
Citrate+Isocitrate,TCA cycle,WAT-SC,male,8w,0.157766357401784,1,0.514972123132883,1,Male,
FAD,NAD redox,BAT,female,1w,-0.750390536730404,0.604883425969717,0.00113418058510064,1,Female,
FAD,NAD redox,BAT,female,2w,-0.786690719026677,0.476133879142262,7.38600274764189e-4,1,Female,
FAD,NAD redox,BAT,female,4w,-0.671786901336747,0.981251940821362,0.00285466221530461,1,Female,
FAD,NAD redox,BAT,female,8w,-1.01364300582923,0.155156439888916,8.60220317075949e-5,1,Female,
FAD,NAD redox,BAT,male,1w,-0.423172700120064,1,0.098861817511873007,1,Male,
FAD,NAD redox,BAT,male,2w,-0.0317522920129543,1,0.89803499289785,1,Male,
FAD,NAD redox,BAT,male,4w,-0.0457534697632385,1,0.853536180799934,1,Male,
FAD,NAD redox,BAT,male,8w,-0.459999259465322,1,0.118886589404532,1,Male,
FAD,NAD redox,HEART,female,1w,0.344534260726209,1,0.0600598112156691,1,Female,
FAD,NAD redox,HEART,female,2w,0.143117219121633,1,0.42053816188548,1,Female,
FAD,NAD redox,HEART,female,4w,0.499476488913242,1,0.00859319961299706,1,Female,
FAD,NAD redox,HEART,female,8w,0.113175379369998,1,0.523089230951223,1,Female,
FAD,NAD redox,HEART,male,1w,0.271302413877273,1,0.0834082356449606,1,Male,
FAD,NAD redox,HEART,male,2w,0.0829792306694979,1,0.585726051879642,1,Male,
FAD,NAD redox,HEART,male,4w,0.505895750765857,0.928311610275145,0.00254570979362978,1,Male,
FAD,NAD redox,HEART,male,8w,0.178417525937917,1,0.246481261729421,1,Male,
FAD,NAD redox,HIPPOC,female,1w,-0.269548404753733,1,0.224810791822106,1,Female,
FAD,NAD redox,HIPPOC,female,2w,-0.144572968486772,1,0.509694187826858,1,Female,
FAD,NAD redox,HIPPOC,female,4w,-0.10190586719402,1,0.660344782388242,1,Female,
FAD,NAD redox,HIPPOC,female,8w,-0.213791223084307,1,0.332528543927672,1,Female,
FAD,NAD redox,HIPPOC,male,1w,0.212680641550946,1,0.378894713425232,1,Male,
FAD,NAD redox,HIPPOC,male,2w,0.16450292088947,1,0.494585547464704,1,Male,
FAD,NAD redox,HIPPOC,male,4w,0.0331257194744634,1,0.890040311696742,1,Male,
FAD,NAD redox,HIPPOC,male,8w,0.0532786240272765,1,0.824091558038756,1,Male,
FAD,NAD redox,KIDNEY,female,1w,0.160167370426465,1,0.676686903156117,1,Female,
FAD,NAD redox,KIDNEY,female,2w,-0.217604801562074,1,0.571654979122343,1,Female,
FAD,NAD redox,KIDNEY,female,4w,-0.181016500081935,1,0.63762655504949906,1,Female,
FAD,NAD redox,KIDNEY,female,8w,-0.4172919910849,1,0.282501200741155,1,Female,
FAD,NAD redox,KIDNEY,male,1w,-0.113763720101425,1,0.679465765104985,1,Male,
FAD,NAD redox,KIDNEY,male,2w,0.0861115737169129,1,0.754271001698112,1,Male,
FAD,NAD redox,KIDNEY,male,4w,-0.290020794602512,1,0.297123272651617,1,Male,
FAD,NAD redox,KIDNEY,male,8w,-0.173548694701779,1,0.529509326063985,1,Male,
FAD,NAD redox,LIVER,female,1w,-0.104331977751321,1,0.420964901633989,1,Female,
FAD,NAD redox,LIVER,female,2w,-0.13764706774488,1,0.29093979022029,1,Female,
FAD,NAD redox,LIVER,female,4w,-0.206668229063928,1,0.118368135193984,1,Female,
FAD,NAD redox,LIVER,female,8w,-0.286333473999054,1,0.0345845881621519,1,Female,
FAD,NAD redox,LIVER,male,1w,-0.187170902931514,1,0.260608375489653,1,Male,
FAD,NAD redox,LIVER,male,2w,-0.295061840307679,1,0.0821214272576749,1,Male,
FAD,NAD redox,LIVER,male,4w,-0.202187059486614,1,0.225353862762206,1,Male,
FAD,NAD redox,LIVER,male,8w,-0.510359168569317,1,0.00455543242196219,1,Male,
FAD,NAD redox,LUNG,female,1w,0.0570323622982687,1,0.552101180825597,1,Female,
FAD,NAD redox,LUNG,female,2w,-0.0501703345596165,1,0.600588972885337,1,Female,
FAD,NAD redox,LUNG,female,4w,-0.300516179677549,1,0.00430794175266843,1,Female,
FAD,NAD redox,LUNG,female,8w,-0.211034812812623,1,0.0359205338361073,1,Female,
FAD,NAD redox,LUNG,male,1w,-0.0661861531679164,1,0.527681597740018,1,Male,
FAD,NAD redox,LUNG,male,2w,-0.156068024595041,1,0.144462548744424,1,Male,
FAD,NAD redox,LUNG,male,4w,-0.0321914076928516,1,0.757888040417899,1,Male,
FAD,NAD redox,LUNG,male,8w,-0.102439276705947,1,0.33139817393534,1,Male,
FAD,NAD redox,SKM-GN,female,1w,0.179634967185216,1,0.258292661359364,1,Female,
FAD,NAD redox,SKM-GN,female,2w,0.470450901835408,1,0.00589231216882108,1,Female,
