ets_gene,buf_gene,r,r_with_bat,delta_r
Atp5f1b,Sod1,0.7964427965184623,0.8602875590011119,-0.06384476248264959
Uqcrc2,Nnt,0.7923708335038856,-0.6118776407057044,1.40424847420959
Ndufa9,Sod2,0.7907288584993504,0.9103340748421296,-0.11960521634277921
Atp5po,Sod2,0.7894323775902194,0.8943112863540573,-0.10487890876383787
Cox5a,Txnrd2,0.7882698292125097,0.886973645731057,-0.09870381651854732
Atp5pb,Sod2,0.7880258788552466,0.8892227012079575,-0.10119682235271099
Uqcrb,Gclm,0.7873193614921637,0.6856662221153964,0.10165313937676734
Cox7a2,Gpx1,0.7843309048861156,0.37237220759711903,0.41195869728899653
Uqcrb,Txnrd2,0.7819979660010041,0.8840872050318418,-0.10208923903083766
Cyc1,Gpx4,0.7795890726129233,0.8243668737517933,-0.04477780113886998
Cyc1,Sod1,0.7781438114751341,0.9080122770599564,-0.12986846558482223
Atp5f1d,Prdx3,0.7774516617248142,0.8654058913736062,-0.08795422964879207
Cox4i1,Gpx1,0.7757563372242208,0.5602906361916532,0.21546570103256757
Atp5pb,Gpx1,0.7712130780025479,0.4920973533599195,0.2791157246426284
Ndufb8,Gpx1,0.7710976511021976,0.48600415067641695,0.2850935004257807
Cyc1,Glrx2,0.7705340377940078,0.8016324540042556,-0.031098416210247892
Cox5a,Glrx2,0.76907042719005,0.8528075572989737,-0.0837371301089237
Cox6b1,Glrx2,0.7664300153661635,0.8508251153886053,-0.08439510002244177
Ndufb8,Sod2,0.7659505110283756,0.8801393987554049,-0.11418888772702929
Cox4i1,Sod2,0.7630917108930212,0.8481429446081143,-0.08505123371509316
Uqcrc1,Sod2,0.7618422590971624,0.8968980066093004,-0.135055747512138
Cyc1,Gclm,0.7616773757001086,0.5799284887138861,0.1817488869862225
Cox5b,Sod2,0.7608073734164074,0.8915257593183469,-0.13071838590193952
Cox6b1,Gpx1,0.7584257536337549,0.44183400971645503,0.31659174391729983
Uqcrb,Gpx1,0.7572460367033669,0.37484170534721295,0.3824043313561539
Ndufa10,Sod1,0.7514460939562209,0.8694059530171729,-0.11795985906095208
Cox6a1,Txnrd2,0.751357702370685,0.8576200366758896,-0.1062623343052046
Atp5po,Gpx1,0.7489072579168959,0.4613159552108005,0.28759130270609545
Cyc1,Gpx1,0.7483797166162718,0.23600814497556552,0.5123715716407062
Atp5f1d,Gclm,0.7480527837496329,0.614205074429811,0.13384770931982193
Cox7a2,Sod2,0.7415009527115467,0.8908592812830955,-0.14935832857154885
Cox5b,Gpx1,0.7385180469851921,0.40839723902266833,0.33012080796252374
Atp5f1d,Gpx1,0.7373727942459264,0.2880565831654214,0.449316211080505
Ndufa10,Txn2,0.7371066846592831,0.7242851579658718,0.0128215266934113
Atp5mc2,Nnt,0.7345403274517796,-0.3861795827296171,1.1207199101813967
Atp5f1e,Nnt,0.733681974850874,-0.6295130616457318,1.363195036496606
Cyc1,Txnrd2,0.7333139413242622,0.8418624858742846,-0.10854854455002239
Ndufa9,Glrx2,0.7320674995070209,0.8146430897884992,-0.08257559028147832
Ndufs7,Sod1,0.7298191894377232,0.8943233411521342,-0.16450415171441102
Ndufv2,Sod1,0.7291614542167085,0.8902745317028995,-0.16111307748619097
Uqcrc1,Txnrd2,0.7287998666106117,0.849869142425818,-0.12106927581520632
Cox5a,Gpx1,0.7283407462879672,0.42789698549067007,0.3004437607972971
Cox5a,Sod2,0.7276455305582027,0.8698836605337104,-0.14223812997550767
Ndufv2,Txn2,0.7264204551790063,0.7729747348491011,-0.046554279670094734
Cycs,Prdx3,0.7242454566937235,0.8366844170712455,-0.11243896037752199
Ndufa10,Glrx2,0.7218510360058925,0.7231198600099662,-0.0012688240040736876
Ndufa9,Gpx1,0.7123825191636345,0.3030789086546129,0.4093036105090216
Cycs,Gpx4,0.7115433342312361,0.8216788974438644,-0.1101355632126283
Ndufa9,Prdx5,0.7035208500693084,0.8740113800726548,-0.17049053000334635
Ndufv2,Glrx2,0.6981976445272363,0.7653107186687984,-0.06711307414156209
Atp5f1b,Gpx1,0.6974385895221553,0.5006806485416513,0.19675794098050403
Cycs,Txn2,0.6966201830810268,0.8048382661929881,-0.10821808311196135
Cox5b,Prdx5,0.6927719898761894,0.8587416919429798,-0.1659697020667904
Ndufv2,Gpx4,0.6881226368897262,0.7832033682557096,-0.09508073136598338
Uqcrfs1,Gpx1,0.6870636563543556,0.25007045920747834,0.4369931971468773
Uqcrb,Sod2,0.6835354038082616,0.8652995173815844,-0.18176411357332278
Uqcrc1,Gpx1,0.6833415063557224,0.2464546823478285,0.4368868240078939
Ndufa9,Txnrd2,0.6823074094313751,0.8369139788790517,-0.1546065694476766
Ndufv2,Gclm,0.6819058619012776,0.5278188094609014,0.15408705244037613
Cox4i1,Prdx5,0.6807709698457123,0.8031030652135707,-0.12233209536785838
Ndufv2,Prdx5,0.6784041160423601,0.8573583184684221,-0.17895420242606208
Cox7a2,Prdx5,0.6715266381226016,0.8597105581016462,-0.1881839199790446
Cox6a1,Prdx5,0.6674517213744707,0.8189827905582177,-0.15153106918374692
