ets_gene,buf_gene,r
Uqcrc2,Txnrd2,0.31627489958833166
Ndufa9,Gpx1,0.3030789086546129
Ndufs3,Gpx4,0.2996247371115675
Atp5f1d,Gpx1,0.2880565831654214
Uqcrc2,Prdx3,0.27867584770090176
Ndufs3,Txn2,0.2777194932573098
Ndufs8,Gclm,0.277121249705311
Ndufs3,Glrx2,0.2735688551525598
Atp5f1e,Prdx3,0.27315625990977627
Atp5f1a,Gclm,0.27080626247759954
Uqcrfs1,Gpx1,0.25007045920747834
Atp5mc2,Sod2,0.2489752754017118
Uqcrc1,Gpx1,0.2464546823478285
Uqcrc2,Glrx2,0.2439772689218584
Cyc1,Gpx1,0.23600814497556552
Atp5f1e,Gpx4,0.2350007780840958
Atp5f1e,Txn2,0.21772389893383076
Atp5mc3,Nnt,0.20915814786576445
Uqcrc2,Gpx4,0.20209587054182904
Atp5f1e,Glrx2,0.1970825648171698
Atp5mc3,Sod2,0.1883247729032429
Ndufs7,Gpx1,0.18484333665207592
Uqcrc2,Txn2,0.1834169589678965
Atp5f1c,Gclm,0.1795736930365739
Atp5mc3,Sod1,0.17469518341876922
Ndufv1,Gclm,0.16145471543373188
Atp5mc2,Txnrd2,0.1597439271690052
Ndufs2,Gclm,0.1567555661837712
Atp5mc3,Gss,0.1453900007317212
Ndufv2,Gpx1,0.1442883878315996
Ndufs1,Gclm,0.14353528645771108
Atp5mc3,Gpx1,0.10809178239748428
Atp5mc2,Prdx3,0.08795161906512523
Ndufa10,Gpx1,0.06693575448143814
Atp5mc2,Glrx2,0.05352685867126289
Atp5mc2,Txn2,0.04894788449702012
Atp5mc2,Gpx4,0.03643137697555214
Atp5mc3,Gsr,0.025224759041451734
Atp5mc1,Gclm,0.010489255770500194
Atp5mc3,Gclc,-0.0020652784487721803
Ndufs8,Gpx1,-0.02114086273263483
Ndufs3,Gclm,-0.03053850056118016
Atp5mc3,Prdx5,-0.08950180399116157
Atp5f1a,Gpx1,-0.09925910453628475
Uqcrc2,Gclm,-0.11195338255353951
Atp5mc1,Gss,-0.11556769114434483
Atp5mc3,Txn2,-0.11853090844579066
Atp5mc3,Gpx4,-0.13550053139321688
Atp5mc3,Prdx3,-0.14002025156427175
Atp5f1c,Gpx1,-0.14294011623698574
Atp5f1e,Gclm,-0.15285742126767313
Ndufs2,Gpx1,-0.1616535211851438
Cox5a,Gclc,-0.1865973198469271
Ndufv1,Gpx1,-0.18816474117606768
Atp5mc3,Txnrd2,-0.18878861831360694
Atp5mc3,Gclm,-0.19636455388558874
Atp5f1b,Gclc,-0.19665076162678394
Atp5mc3,Glrx2,-0.2187295350052961
Ndufs1,Gpx1,-0.2288418764657881
Cox4i1,Gclc,-0.24017869100106368
Ndufb8,Gclc,-0.24626348900215023
Atp5pb,Gclc,-0.2508569383362703
Cox6a1,Gclc,-0.25724517227744714
Atp5mc1,Txn2,-0.2595983610989026
Atp5f1e,Gpx1,-0.26873869029135167
Atp5mc2,Gclm,-0.28110409883678383
Atp5mc1,Gpx4,-0.28544167652443153
Atp5mc2,Gpx1,-0.29158386130561137
Ndufs3,Gpx1,-0.2920842547332279
Cox5b,Gclc,-0.293553967136883
Ndufa9,Gclc,-0.2948338363711009
Uqcrb,Gclc,-0.30322631837242237
Cycs,Gclc,-0.3055394866649455
Atp5mc2,Gclc,-0.3063558004408714
Atp5po,Gclc,-0.31409351789317713
Uqcrfs1,Gclc,-0.32434920814262963
Atp5mc1,Glrx2,-0.342670401792387
Uqcrc1,Gclc,-0.34665982476467505
Cox6b1,Gclc,-0.3508202114480946
Atp5mc1,Prdx3,-0.3577374874639433
Cox7a2,Gclc,-0.3775133728051169
Atp5f1d,Gclc,-0.3793516993125865
Cyc1,Gclc,-0.38072510336885784
Atp5mc2,Nnt,-0.3861795827296171
Ndufs1,Gclc,-0.38851083703427386
Ndufv2,Gclc,-0.39060468858541836
Uqcrc2,Gpx1,-0.391130079108379
Atp5mc1,Sod2,-0.40103566312385697
Atp5f1c,Gclc,-0.40907534501050197
Ndufs7,Gclc,-0.4109325318130451
Ndufs3,Gclc,-0.41294648205759427
Atp5f1a,Gclc,-0.4339726299815863
Atp5mc1,Txnrd2,-0.4420019700385623
Atp5mc1,Gsr,-0.44205884904292897
Ndufv1,Gclc,-0.44528882139665726
Ndufa10,Gclc,-0.4472031526607478
Atp5mc1,Sod1,-0.4544197227893989
Atp5mc1,Prdx5,-0.4667820554680029
Uqcrc2,Gclc,-0.48704370574109146
